title,price,price_raw,url,condition,scraped_at,year
Gibson Les Paul Studio Dark Guitar Center-Exclusive Electric Guitar Olive Drab,1799,"$1,799.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Studio-Dark-Limited-Edition-Electric-Guitar-Olive-Drab-1500000440674.gc,New,2025-08-12T14:08:35.851886,
Gibson Les Paul Standard '60s AAA Flame Top Guitar Center-Exclusive Electric Guitar Honey Lemon Burst,2999,"$2,999.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-60s-AAA-Flame-Top-Limited-Edition-Electric-Guitar-Honey-Lemon-Burst-1500000416667.gc,,2025-08-12T14:08:35.852981,
Gibson Les Paul Studio Session Electric Guitar Translucent Ebony Burst,1999,"$1,999.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Studio-Session-Electric-Guitar-Translucent-Ebony-Burst-1500000438895.gc,,2025-08-12T14:08:35.854094,
Gibson Les Paul Standard '50s Figured Top Electric Guitar Heritage Cherry Sunburst,2799,"$2,799.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-50s-Electric-Guitar-Heritage-Cherry-Sunburst-1500000274114.gc,,2025-08-12T14:08:35.855159,
Gibson Les Paul Supreme AAA Quilt Top Limited-Edition Electric Guitar Sea Smoke,4199,"$4,199.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Supreme-AAA-Quilt-Top-Limited-Edition-Electric-Guitar-Sea-Smoke-1500000441488.gc,,2025-08-12T14:08:35.856204,
Gibson Adam Jones Les Paul Standard Electric Guitar Silver Burst,2999,"$2,999.00 ",https://www.guitarcenter.com/Gibson/Adam-Jones-Les-Paul-Standard-Electric-Guitar-Silver-Burst-1500000359207.gc,,2025-08-12T14:08:35.857196,
Gibson Les Paul Standard '60s Figured Top Electric Guitar Bourbon Burst,2799,"$2,799.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-60s-Electric-Guitar-Bourbon-Burst-1500000274117.gc,,2025-08-12T14:08:35.858697,
Gibson Les Paul Standard '50s P-90 Electric Guitar Gold Top,2599,"$2,599.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-50s-P-90-Electric-Guitar-Gold-Top-1500000274115.gc,,2025-08-12T14:08:35.860169,
Gibson Les Paul Supreme Electric Guitar Wine Red,3999,"$3,999.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Supreme-Electric-Guitar-Wine-Red-1500000395597.gc,,2025-08-12T14:08:35.861482,
Gibson Slash Les Paul Standard Electric Guitar Appetite Burst,2999,"From $2,999.00",https://www.guitarcenter.com/Gibson/Slash-Les-Paul-Standard-Electric-Guitar-Appetite-Burst-1500000314875.gc,,2025-08-12T14:08:35.862587,
Gibson Custom Les Paul Custom Electric Guitar Alpine White,5799,"$5,799.00 ",https://www.guitarcenter.com/Gibson-Custom/Les-Paul-Custom-Ebony-Fingerboard-Electric-Guitar-Alpine-White-1500000297379.gc,,2025-08-12T14:08:35.863669,
Gibson Les Paul Studio Electric Guitar Blueberry Burst,1599,"$1,599.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Studio-Electric-Guitar-Blueberry-Burst-1500000436844.gc,,2025-08-12T14:08:35.864679,
Gibson Les Paul Music City Special 50th Anniversary Electric Guitar Wine Red,1799,"$1,799.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Music-City-Special-50th-Anniversary-Electric-Guitar-Wine-Red-1500000450134.gc,New,2025-08-12T14:08:35.865772,
Gibson Les Paul Standard '60s Plain Top Electric Guitar Ebony,2599,"$2,599.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-60s-Plain-Top-Electric-Guitar-Ebony-1500000404901.gc,,2025-08-12T14:08:35.866931,
Gibson Les Paul Studio Figured Guitar Center-Exclusive Electric Guitar Dirty Lemon Burst,1799,"$1,799.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Studio-Figured-Limited-Edition-Electric-Guitar-Dirty-Lemon-Burst-1500000440688.gc,,2025-08-12T14:08:35.868058,
Gibson Les Paul Modern Figured Electric Guitar Cobalt Burst,2999,"$2,999.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Modern-Figured-Electric-Guitar-Cobalt-Burst-1500000404869.gc,,2025-08-12T14:08:35.869047,
Gibson Custom 1968 Les Paul Custom Reissue Electric Guitar Ebony,6199,"$6,199.00 ",https://www.guitarcenter.com/Gibson-Custom/1968-Les-Paul-Custom-Reissue-Electric-Guitar-Ebony-1500000331576.gc,,2025-08-12T14:08:35.870098,1968
Epiphone Inspired by Gibson Custom Les Paul Custom Electric Guitar Alpine White,1299,"$1,299.00 ",https://www.guitarcenter.com/Epiphone/Les-Paul-Custom-Electric-Guitar-Alpine-White-1500000419380.gc,,2025-08-12T14:08:35.871225,
Gibson Les Paul Standard '60s Double Trouble Electric Guitar Vintage Cherry Sunburst,2799,"$2,799.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-60s-Double-Trouble-Electric-Guitar-Vintage-Cherry-Sunburst-1500000450142.gc,,2025-08-12T14:08:35.872263,
"Gibson Kirk Hammett ""Greeny"" Les Paul Standard Electric Guitar Greeny Burst",2999,"$2,999.00 ",https://www.guitarcenter.com/Gibson/Kirk-Hammett-Greeny-Les-Paul-Standard-Electric-Guitar-Greeny-Burst-1500000395596.gc,,2025-08-12T14:08:35.873385,
Gibson Les Paul Traditional Pro V AAA Flame Top Electric Guitar Ocean Water Perimeter,2999,"$2,999.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Traditional-Pro-V-AAA-Flame-Top-Electric-Guitar-Ocean-Water-Perimeter-1500000432219.gc,,2025-08-12T14:08:35.874517,
Gibson Warren Haynes Les Paul Standard Electric Guitar 60s Cherry,2799,"$2,799.00 ",https://www.guitarcenter.com/Gibson/Warren-HaynesLes-Paul-Standard-Electric-Guitar-60s-Cherry-1500000434579.gc,,2025-08-12T14:08:35.875656,
Gibson Custom 1957 Les Paul Custom Reissue 3-Pickup VOS Electric Guitar Ebony,6899,"$6,899.00 ",https://www.guitarcenter.com/Gibson-Custom/57-Les-Paul-Custom-3-Pickup-Ebony-VOS-Electric-Guitar-Ebony-1500000220204.gc,,2025-08-12T14:08:35.876671,1957
Gibson Les Paul Standard '60s Limited-Edition Electric Guitar Tri-Burst,2799,"$2,799.00 ",https://www.guitarcenter.com/Gibson/Les-Paul-Standard-60s-Limited-Edition-Electric-Guitar-Tri-Burst-1500000315297.gc,,2025-08-12T14:08:35.877757,
